# 475 v121 '4d82fec943ddaa44' remove last =False
# 474 remove last =true


#v131  remove last =true 475 remove last =true 477


simformer

| Metric                                | Value      |
| ------------------------------------- | ---------- |
| Realism meta-metric                   | 0.66234016 |
| Linear Speed Likelihood               | 0.37729618 |
| Linear Acceleration Likelihood        | 0.5030157  |
| Angular Speed Likelihood              | 0.60581106 |
| Angular Acceleration Likelihood       | 0.68027556 |
| Distance To Nearest Object Likelihood | 0.30762887 |
| Collision Likelihood                  | 0.866547   |
| Time To Collision Likelihood          | 0.8635248  |
| Distance To Road Edge Likelihood      | 0.3524368  |
| Offroad Likelihood                    | 0.6178145  |
| minADE                                | 0          |

/home/ke/code/sim/src/waymo_data/gen256_fakegan2_disdrop01evalmatchtype02_epoch=31-step=60896_0.64111.ckpt

lead to width 0

| Metric                                | Value      |
| ------------------------------------- | ---------- |
| Realism meta-metric                   | 0.62279016 |
| Linear Speed Likelihood               | 0.3219646  |
| Linear Acceleration Likelihood        | 0.42832804 |
| Angular Speed Likelihood              | 0.5466537  |
| Angular Acceleration Likelihood       | 0.6280193  |
| Distance To Nearest Object Likelihood | 0.24810658 |
| Collision Likelihood                  | 0.8542477  |
| Time To Collision Likelihood          | 0.8443215  |
| Distance To Road Edge Likelihood      | 0.27070937 |
| Offroad Likelihood                    | 0.5712369  |
| minADE                                | 0          |


/home/ke/code/sim/src/waymo_data/gen128_gpgenr12_1e5_vel_mappos_pre_epoch=24-step=95125_0.6288.ckpt


| Metric                                | Value      |
| ------------------------------------- | ---------- |
| Realism meta-metric                   | 0.6145485  |
| Linear Speed Likelihood               | 0.33572048 |
| Linear Acceleration Likelihood        | 0.4921063  |
| Angular Speed Likelihood              | 0.5610384  |
| Angular Acceleration Likelihood       | 0.6549026  |
| Distance To Nearest Object Likelihood | 0.24486539 |
| Collision Likelihood                  | 0.78982353 |
| Time To Collision Likelihood          | 0.85147285 |
| Distance To Road Edge Likelihood      | 0.28162867 |
| Offroad Likelihood                    | 0.5717825  |
| minADE                                | 0          |
